,client_latency_ms,configured_batch_size,inst_type,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,487087.665394,10,g3.4xlarge,9.94039735099337747569,1.65220373547,res152,1,0,6184.31588,0.00236736305246
1,29927.7113457,1,g3.4xlarge,0.999999999999999990513,29.3819146843,res152,1,1,40.41346,0.624445802048
2,408846.799164,4,g3.4xlarge,3.99202127659574466999,1.96234528012,res152,2,0,2086.78658,0.0022350862977
3,17781.3996221,4,g3.4xlarge,3.99206349206349207174,54.9836346771,res152,1,1,107.72912,1.58300516
4,18817.1291707,30,p2.8xlarge,29.431372549019607851,47.6874691436,res152,1,1,1006.584,5.6633309419
5,15045.9959857,10,g3.4xlarge,9.94230769230769231316,63.8206478598,res152,2,1,1081.80306,0.704362161954
6,16637.1755757,6,g3.4xlarge,5.98054474708171206199,56.6775297428,res152,1,1,157.04092,1.70151562314
7,40674.4558514,1,p2.8xlarge,1.00000000000000001008,20.3134000724,res152,1,1,51.90481,0.0529119627651
8,23431.7346993,4,p2.8xlarge,3.99218750000000001106,36.093822111,res152,1,1,139.1695,0.309526982206
9,375037.646314,8,g3.4xlarge,7.96296296296296294854,2.14965270498,res152,3,0,3904.4054,0.086493104174
10,439805.983941,2,g3.4xlarge,1.9986684420772303487,1.82081197289,res152,3,0,1122.189,0.00309026832297
11,381201.377324,10,g3.4xlarge,9.94039735099337747569,2.11326196597,res152,2,0,4836.47316,0.00135702492577
12,386096.474619,8,g3.4xlarge,7.96296296296296294854,2.08715126751,res152,2,0,3933.9356,0.0835253944446
13,30837.0038171,1,g3.4xlarge,1.00000000000000000531,28.392417692,res152,2,1,41.1341,0.594349776564
14,17283.0172693,4,g3.4xlarge,3.99202127659574466999,54.982426801,res152,3,1,118.59947,2.3752635236
15,16597.3844614,6,g3.4xlarge,5.98076923076923076469,56.6801822318,res152,2,1,149.824,1.6949385862
16,493068.23092,8,g3.4xlarge,7.96296296296296294854,1.6330176053,res152,1,0,4969.3063,0.0654794120472
17,520692.774133,1,g3.4xlarge,0.999999999999999985905,1.53641092975,res152,3,0,667.69587,0.00337269493317
18,19310.5012621,16,p2.8xlarge,15.8437500000000000113,45.0031302547,res152,1,1,1004.754,2.75781555476
19,498758.928719,6,g3.4xlarge,5.98007968127490040266,1.61374697885,res152,1,0,3786.95248,0.0475460576981
20,20185.2659179,12,p2.8xlarge,11.9126984126984126902,42.7536825815,res152,1,1,833.83588,2.18575952482
21,572104.294356,1,g3.4xlarge,0.999999999999999985905,1.39671534445,res152,1,0,731.79107,0.00348357388737
22,455015.819693,2,g3.4xlarge,1.9986684420772303487,1.75920641236,res152,2,0,1160.48072,0.00393188739309
23,542257.773474,2,g3.4xlarge,1.9986684420772303487,1.47502560819,res152,1,0,1374.54572,0.00294257598022
24,16835.4497029,6,g3.4xlarge,5.98054474708171206199,56.6754728837,res152,3,1,170.74346,1.80381937126
25,20000.3611007,24,p2.8xlarge,23.640625,43.7252983465,res152,1,1,1002.318,3.07466186599
26,20201.8975236,20,p2.8xlarge,19.7499999999999999948,42.6006071128,res152,1,1,1005.922,0.119376770044
27,20782.8338879,10,p2.8xlarge,9.94155844155844155112,40.9800693087,res152,1,1,636.0563,0.207608166873
28,30505.4965757,2,p2.8xlarge,1.99868247694334651024,27.30376596,res152,1,1,84.7552,0.17055309965
29,19602.1435843,2,g3.4xlarge,1.99868073878627969047,47.0511864623,res152,1,1,57.47012,0.986155074621
30,538999.012814,1,g3.4xlarge,1.00000000000000001355,1.48462790499,res152,2,0,686.74558,0.00403227838587
31,31799.1675929,1,g3.4xlarge,0.999999999999999990513,28.0563810945,res152,3,1,52.84304,0.560416286537
32,19869.973255,2,g3.4xlarge,1.9987029831387808041,46.2344330993,res152,3,1,56.80664,0.9876172584
33,19842.5724164,2,g3.4xlarge,1.99867899603698812299,46.4113656572,res152,2,1,57.27252,1.04353255882
34,372341.00474,10,g3.4xlarge,9.94039735099337747569,2.16476096758,res152,3,0,4798.02308,0.00138741116446
35,393707.139729,6,g3.4xlarge,5.98007968127490040266,2.04480446735,res152,2,0,3003.4496,0.0592224945409
36,21416.5127486,8,p2.8xlarge,7.96354166666666665568,39.7308725624,res152,1,1,333.23284,1.55503026564
37,381846.180835,6,g3.4xlarge,5.98007968127490040266,2.11015615417,res152,3,0,2965.25204,0.061601679981
38,401797.826323,4,g3.4xlarge,3.99202127659574466999,1.99700294279,res152,3,0,2066.41051,0.00247653631032
39,17020.7714964,4,g3.4xlarge,3.99206349206349207174,55.3356270682,res152,2,1,99.88159,1.11928728644
40,507547.418001,4,g3.4xlarge,3.99202127659574466999,1.57956398319,res152,1,0,2559.88016,0.00197434327023
41,15136.2102514,10,g3.4xlarge,9.94193548387096773418,63.4063616491,res152,3,1,1090.47832,1.8512254964
42,15783.491625,8,g3.4xlarge,7.96335078534031412913,60.1849397736,res152,1,1,360.57808,2.48770205437
43,15082.2529343,10,g3.4xlarge,9.94193548387096773418,63.675768718,res152,1,1,1107.03572,0.472196488172
44,21402.420805,6,p2.8xlarge,5.98046875,39.9589173966,res152,1,1,238.69817,1.18404401654
45,15737.9540986,8,g3.4xlarge,7.96373056994818651283,60.3037038925,res152,3,1,314.78484,2.31856279371
46,15782.2642186,8,g3.4xlarge,7.96335078534031412913,60.3225971376,res152,2,1,360.56108,2.36388355949
